Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County
MN-W-15021,"Whitewater Wines, Llc",Whitewater Wines,10832 Fischer Hill Dr,Plainview,MN,55964,0,Wabasha
MN-W-15022,"Hinterland Vineyards, Llc",Hinterland Vineyards,3060 120th Ave Se,Clara City,MN,56222,1085,Chippewa
MN-W-15023,"Millner Vineyard, Llc",Millner Heritage Vineyard & Winery,32025 State Highway 15,Kimball,MN,55353,0,Stearns
MN-W-15024,Parley Lake Winery Llp,Parley Lake Winery,8180 &8350 Parley Lake Rd,Waconia,MN,55387,9607,Carver
MN-W-15025,Richwood Winery Llc, ,27799 County Highway 34,Richwood,MN,56577,0,Becker
MN-W-15029,"Indian Island Winery,Llc",Indian Island Winery,18018 631 Ave,Janesville,MN,56048,0,Waseca
MN-W-15031,Warehouse Winery Llc,Warehouse Winery,6415 Cambridge St,Saint Louis Park,MN,55426,4419,Hennepin
MN-W-15032,"Stark Wines, Llc",Stark Wines,43150 Blackhawk Rd,Harris,MN,55032,3507,Chisago
MN-W-15033,S & S Vineyards & Winery Llc, ,40895 County Hwy,New York Mills,MN,56567,0,Otter Tail
MN-W-15034,"Dietman Vineyard & Winery, Llc",Buffalo Rock Winery,4527 23rd St Se,Buffalo,MN,55313,5221,Wright
MN-W-15035,River View Winery Llc,River View Vineyard,32882 County Rd 1,La Crescent,MN,55947,4290,Houston
MN-W-15036,"Whispering Oaks Winery, Inc.",Whispering Oaks Winery,33578 County Rd,Melrose,MN,56352,4600,Stearns
MN-W-15037,Whistle Post Llc,Sovereign Estate Wine,9950 N Shore Rd,Waconia,MN,55387,9503,Carver
MN-W-15038,Benjamin Hause,Painted Prairie Vineyard,1575 250th Ave,Currie,MN,56123,1128,Murray
MN-W-15039,"Wild Mountain Winery, Inc.",Wild Mountain Winery,16906 Wild Mountain Rd,Taylors Falls,MN,55084,1796,Chisago
MN-W-15040,"Crow River Winery, Llc", ,14848 Highway 7 E,Hutchinson,MN,55350,5734,Mcleod
MN-W-15041,"In Vino Veritas, Inc.",Hidden View Winery,901 Stanley Ave,Cloquet,MN,55720,3186,Carlton
MN-W-15043,"K & B Cidery, Incorporated",Tin Shed Cider Company,19365 Cannon City Blvd,Faribault,MN,55021,8039,Rice
MN-W-15044,"Chankaska Creek Ranch & Winery, Llc",Chankaska Creek Ranch & Winery,1179 E Pearl St,Kasota,MN,56050,4296,Le Sueur
MN-W-15045,"Weedy Lake Orchard & Vines, Inc.",Weedy Lake Orchard & Vines,19618 Johnson Dr,Audubon,MN,56511,0,Becker
MN-W-15046,Grandview Valley Winery Inc.,Grand Valley Winery,42703 Grandview Ave,Belview,MN,56214,1362,Redwood
MN-W-20092,Four Daughters Vineyard And Winery Llc,Four Daughters Vineyard And Winery,,Spring Valley,MN,55975,0,Mower
MN-W-20095,"Flower Valley Vineyards, Llc", ,29212 Orchard Rd,Red Wing,MN,55066,0,Goodhue
MN-W-20169,"Windsong Winery, Llc", ,480 60th St Ne,Benson,MN,56215,1086,Swift
MN-W-20188,Willow Tree Vinyard & Winery Llc, ,828 Constance Blvd Ne,Ham Lake,MN,55304,5349,Anoka
MN-W-20443,"Pouchtec Industries, Llc", ,347 Sheridan Rd Se,Foley,MN,56329,8523, 
MN-W-30,"Alexis Bailly Vineyard, Inc.",Alexis Bailly Vineyard,18200 S Kirby Ave,Hastings,MN,55033,9340,Dakota
MN-W-32,"J. Bird Wines, Inc.",J. Bird Wines,36337 Ne Polk St,Stanchfield,MN,55080,8007,Isanti
MN-W-33,Minnesota Winegrowers Cooperative,Northern Vineyards,223 N Main St,Stillwater,MN,55082,5021,Washington
MN-W-37,"St. Croix Vineyards, Inc.",St. Croix Vineyards,6428 N Manning Ave,Stillwater,MN,55082,9462,Washington
MN-W-38,"Minnesota Specialty Crops, Incorporated",Minnestalgia Winery,41640 State Highway 65,Mcgregor,MN,55760,0,Aitkin
MN-W-39,"Winehaven, Inc.", ,9757 292nd St,Chisago City,MN,55013,9600,Chisago
MN-W-41,"Scenic Valley Winery, Inc.", ,101 Coffee St,Lanesboro,MN,55949,9748,Fillmore
MN-W-42,George Marti And Paula Marti,Morgan Creek Vineyards,23707 478th Avenue,New Ulm,MN,56073,0,Brown
MN-W-46,"Carlos Creek Winery, Inc.",Carlos Creek Winery,6693 County Road 34 Nw,Alexandria,MN,56308,9857,Douglas
MN-W-47,"Shuster, Wildmo & Shuster, Inc.",Forestedge Winery,35295 State Highway 64,Laporte,MN,56461,4011,Hubbard
MN-W-49,"Fieldstone Vineyards, Inc.",Fieldstone Vineyards,252 Second Street East,Redwood Falls,MN,56283,0,Redwood
MN-W-51,John Falconer,Falconer Vineyards,3572 Old Tyler Rd,Red Wing,MN,55066,1753,Goodhue
MN-W-53,"Patton Family Vineyard, Inc.", ,4481 N Frontage Rd Nw,Rochester,MN,55901,3191,Olmsted
MN-WS-33,United States Distilled Products Co., ,1607 S 12th St,Princeton,MN,55371,2300,Mille Lacs
MO-W-102,Jerry & Joanne Smith,River Ridge,County Road 321 P.O. Box 118,Commerce,MO,63742,0,Scott
MO-W-105,"Sugar Creek Winery, Inc.",Sugar Creek Winery,125 Boone County Ln,Defiance,MO,63341,3103,Saint Charles
MO-W-110,"Stonehaus Farms Vineyard & Winery, L.L.C.",Stonehaus Farms,24607 Ne Colbern Rd,Lees Summit,MO,64086,9513,Jackson
MO-W-117,"Montserrat Vineyards, L.L.C.",Montserrat Vineyards,104 Ne 641,Knob Noster,MO,65336,1925,Johnson
MO-W-119,"Akc Enterprises, Inc.",Winery Of The Little Hills,501 S Main St,Saint Charles,MO,63301,3438,Saint Charles
MO-W-120,"Peaceful Bend Vineyard, Llc", ,1942 Highway T,Steelville,MO,65565,5067,Crawford
MO-W-122,"Oakglenn Winery, Llc", ,1104 Oakglenn Pl,Hermann,MO,65041,96,Gasconade
MO-W-123,"Meramec Vineyards, Llc",Meramec Vineyards,600 State Rte B,Saint James,MO,65559,1000,Phelps
MO-W-124,Heinrich Grohe,"Heinrichshaus, Inc.",18500 State Rte U,Saint James,MO,65559,8495,Phelps
MO-W-125,"Villa Antonio, Ltd.", ,3660 Linhorst Rd,Hillsboro,MO,63050,3818,Jefferson
MO-W-126,"Phoenix Winery & Vineyard, Inc.", ,1840 Highway 50,Owensville,MO,65066,2111,Gasconade
MO-W-127,Chaumette Inc.,Chaumette Vineyards And Winery,24345 State Rte Ww,Ste Genevieve,MO,63670,9022,Sainte Genevieve
MO-W-128,"George A. Hershberger, Owner",Baron Von Hershberger Vineyards,2407 E Raynell St,Springfield,MO,65804,4510,Greene
MO-W-130,Nicholas J Bommarito,Bommarito Estate Almond Tree Winery,3718 Grant School Rd,New Haven,MO,63068,2024,Franklin
MO-W-131,"Meador Winery & Vineyard, Inc.", ,5479 W Montana Ln,Joplin,MO,64801,8610,Jasper
MO-W-132,"Louis P. Balducci Vineyards, L.L.C.",Louis P. Balducci Vineyards,6601 S Highway 94,Augusta,MO,63332,1617,Saint Charles
MO-W-133,Balducci's Winefest Inc.,Balducci's Restaurant,12527 Bennington Pl,Saint Louis,MO,63146,2710,Saint Louis
MO-W-135,"Crown Valley Winery, Inc.", ,23589 State Rte Ww,Ste Genevieve,MO,63670,9039,Sainte Genevieve
MO-W-141,"Summit Lake Winery, Llc",Summit Lake Winery,1707 S Summit Dr,Holts Summit,MO,65043,2100,Callaway
MO-W-142,"Wenwood Farm Winery, Llc", ,1132 Brick Church Rd,Bland,MO,65014,2023,Gasconade
MO-W-143,"The Saint Louis Brewery, Inc.", ,7260 Southwest Ave,Maplewood,MO,63143,2406,Saint Louis
MO-W-145,Rodger Dale & Theila Jean Luetjen,Eichenberg Winery,103 N Olive St,Cole Camp,MO,65325,1211,Morgan
MO-W-146,Native Stone Vineyard Inc,Native Stone Winery,4301 Native Stone Rd,Jefferson City,MO,65109,8424,Cole
MO-W-147,Missouri State University,Mountain Grove Campus,9740 Red Spring Rd,Mountain Grove,MO,65711,2999,Wright
MO-W-148,Hemman Winery Llc,Hemman Winery,13022 Highway C,Brazeau,MO,63737,0,Perry
MO-W-15000,William Franklin Hahn,Artesian Springs Winery,1301 State Highway 8,Park Hills,MO,63601,9399,Saint Francois
MO-W-15001,Grey Bear Vineyards Llc, ,25992 Highway T,Stover,MO,65078,1437,Morgan
MO-W-15003,"Waybar, Inc.",Bardenheier Wine Cellars,11386 State Hwy A,Richwoods,MO,63071,0,Washington
MO-W-15004,"Cave Vineyard, Llc", ,21124 Ne Cave Rd,Ste Genevieve,MO,63670,7920,Sainte Genevieve
MO-W-15005,"Keltoi Vineyard, L.L.C.",Keltoi Vineyard And Winery,17705 County Road 260,Oronogo,MO,64855,9129,Jasper
MO-W-15007,"Paul J Wrabec Co., Inc.",Vinograd Winery,501 S Sterling,Sugar Creek,MO,64054,1501,Jackson
MO-W-15008,Hidden Hills Winery Llc, ,4321 State Road P,Festus,MO,63028,3228,Jefferson
MO-W-15009,"Tammas Group, L.L.C.",Copia,1110 Washington Ave,Saint Louis,MO,63101,1157,Saint Louis City
MO-W-15011,St. Francois Vineyard Llc,St. Francois Vineyard,1669 Pine Ridge Trl,Park Hills,MO,63601,0,Saint Francois
MO-W-15013,"Pirtle Winery, Llc", ,502 Spring St,Weston,MO,64098,1230,Platte
MO-W-15016,Albonee' Country Inn And Vineyards. Llc, ,2200 Crenshaw Rd,Independence,MO,64057,3005,Jackson
MO-W-15017,Edmund D And Claudia A Staude,Rolling Meadows Vineyards,212 Eden Trl,Warrenton,MO,63383,3340,Warren
MO-W-15018,"Terre Beau Vineyards, Llc", ,100 S Lynn St,Dover,MO,64022,0,Lafayette
MO-W-15019,"Riverbend Wines, Llc",D'vine Wine,119 N Kirkwood Rd,Kirkwood,MO,63122,4301,Saint Louis
MO-W-15021,"Jowler Creek Winery, Inc.",Jowler Creek Winery,16905 Jowler Creek Rd,Platte City,MO,64079,9335,Platte
MO-W-15022,"Dlrollings, L.L.C.",Yellow Farmhouse Vineyard,100 Defiance Rd,Defiance,MO,63341,281,Saint Charles
MO-W-15023,Odessa Country Winery Llc, ,2466 Mcneel Rd,Odessa,MO,64076,5412,Lafayette
MO-W-15024,"Belmont Vineyards, Llc", ,5870 Old 66,Leasburg,MO,65535,8196,Crawford
MO-W-15026,"Mortensen/Naatz Enterprises, Llc",Riverwood Winery,22200 Hwy 45 N,Rushville,MO,64484,0,Buchanan
MO-W-15027,"Durso Hills Winery, L.L.C.",Durso Hills Winery,110 N Harding St,Marquand,MO,63655,9162,Madison
MO-W-15028,"Red Barn Food And Wine, Llc",Amigoni Urban Winery,1600 Genessee St,Kansas City,MO,64102,0,Jackson
MO-W-15031,James E. Traver,Traver Home Winery,1429 County Road 1870,Willow Springs,MO,65793,3343,Howell
MO-W-15032,Louis E. Woody,Williams Creek Winery,310 S Hickory St,Mount Vernon,MO,65712,1427,Lawrence
MO-W-15036,"Indian Creek Winery, Llc",Indian Creek Winery,805 Stoddard St,Monroe City,MO,63456,0,Monroe
MO-W-15037,"Boulevard Brewing Associates Limited Partnership, Bbc Management Company, General Partner",Boulevard Brewing Company,2501 Southwest Blvd,Kansas City,MO,64108,2345,Jackson
MO-W-15039,"Summit Lake Winery-Hartsburg, Llc",Summit Lake Winery-Hartsburg,15 E Main St,Hartsburg,MO,65039,9701,Boone
MO-W-15040,Westphalia Winery Llc,Westphalia Vineyards,182 Brewery Ln,Westphalia,MO,65085,0,Osage
MO-W-15041,"Charleville Vineyard, Llc",Charleville Vineyard,16937 Boyd Rd,Sainte Genevieve,MO,63670,0,Sainte Genevieve
MO-W-15042,Twin Oaks Vineyard Llc, ,6470 Hwy F,Farmington,MO,63640,7340,Saint Francois
MO-W-15043,Thousand Oaks Winery Llc,Thousand Oaks Winery,Rr 1 Box 503b,Marble Hill,MO,63764,9737,Bollinger
MO-W-15044,"West Winery, Llc",West Winery,107 Vine St,Macon,MO,63552,0,Macon
MO-W-15045,"Claverach Farm & Vineyards, Llc", ,570 S Lewis Rd,Eureka,MO,63025,2502,Saint Louis
MO-W-15047,La Dolce Vita Winery Llc,La Dolce Vita Winery,4 Lafayette St,Washington,MO,63090,2541,Franklin
MO-W-15048,Nathan Z. And Lisa A. Oesch,Chateau Lisa,801 Hwy B,Wheeling,MO,64688,9783,Livingston
MO-W-15050,L.M.S. Wine Creator's Llc, ,127 Se 3rd Street,Lees Summit,MO,64063,2719,Jackson
MO-W-15051,"Red Barn Food And Wine, Llc", ,3030 Roanoke Rd,Kansas City,MO,64108,0,Jackson
MO-W-15052,"Branson Wine Marketing, Llc",Mount Pleasant Winery,3125 Green Mountain Dr,Branson,MO,65616,3817,Taney
MO-W-15053,"The Saint Louis Brewery, Inc.", ,2100 Locust St,Saint Louis,MO,63103,1616,Saint Louis City
MO-W-15054,Seven Springs Winery Llc,Seven Springs Winery,846 Winery Hills Estates,Linn Creek,MO,65052,0,Camden
MO-W-15055,"Indian Hills Vines & Wines, Llc",Indian Hills Winery,9625 County Road 250,Puxico,MO,63960,8007,Stoddard
MO-W-15057,"Vance Vineyard And Winery, Llc",Vance Vineyard And Winery,1522 Madison 212,Fredericktown,MO,63645,8557,Madison
MO-W-15059,"Hunter Valley Winery, L.L.C.",Hunter Valley Winery,762 State Hwy,Cape Girardeau,MO,63701,7801,Cape Girardeau
MO-W-15061,Roger Vernon Reed And Darlene A. Reed,Wineflower,7925 Scott Ave,Liberty,MO,64068,0,Clay
MO-W-15062,"Buck Mountain Winery And Vineyard, Llc",Buck Mountain Winery,700 Oelson Rd,Doe Run,MO,63637,3174,Saint Francois
MO-W-15063,"Chandler Hill Vineyards, Llc",Chandler Hill Vineyards,596 Defiance Rd,Defiance,MO,63341,0,Saint Charles
MO-W-15064,"Sainte Genevieve Winery, Llc",Sainte Genevieve Winery,6231 State Rte,Sainte Genevieve,MO,63670,8264,Sainte Genevieve
MO-W-15066,"Fence Stile, Llc",Fence Stile Vineyards & Winery,31010 W 124th St,Excelsior Springs,MO,64024,5370,Clay
MO-W-15067,"Noboleis Vineyards, L.L.C.",Noboleis Vineyards,100 Hemsath Rd,Augusta,MO,63332,0,Saint Charles
MO-W-15068,7cs Winery Llc,7cs Winery,502 E 560th Rd,Walnut Grove,MO,65770,8394,Greene
MO-W-15069,Jacob's Vineyard Llc,Jacob's Vineyard,26078 Eagle Ln,Kirksville,MO,63501,7956,Adair
MO-W-15070,Branson Ridge Landing Corporation,Branson Ridge Winery & Cafe De Vine,307 Branson Landing Blvd,Branson,MO,65616,2088,Taney
MO-W-15071,Debbie Gibson,Barbour St. Vineyards,110 N Main St,Marceline,MO,64658,0,Linn
MO-W-15072,"Three Squirrels Winery, Llc",Three Squirrels Winery,17301 State Route B.,Saint James,MO,65559,8583,Phelps
MO-W-15073,"Sainte Genevieve Winery, Llc",Sainte Genevieve Winery,245 Merchant St,Sainte Genevieve,MO,63670,1609,Sainte Genevieve
MO-W-15074,"Ozark Creek Winery, Llc", ,4082 N 20th St,Ozark,MO,65721,7434,Christian
MO-W-15075,Sand Creek Vineyard Llc,Sand Creek Vineyard,3578 Sand Creek Rd,Farmington,MO,63640,7345,Saint Francois
MO-W-15076,Rothbrick Ventures Llc,Rothbrick Crush,420 Peckew Trl,Jackson,MO,63755,0,Cape Girardeau
MO-W-15078,"Horst Vineyards, Llc",Horst Vineyards,6416 Us 60,Mountain View,MO,65548,0,Howell
MO-W-15079,Fred Louis Webster,Crane Creek Vineyard,R R 1 Box 18-B,Preston,MO,65732,9703,Hickory
MO-W-15081,Fusion Wines Llc, ,885 Hwy Kk,Sedgewickvlle,MO,63781,8109,Bollinger
MO-W-15082,Kinori Vineyards Llc, ,360 W Davis,Puxico,MO,63960,0,Stoddard
MO-W-15083,Rebecca A Keesaman,Windy Wine Company,3391 Sw Rogers Rd,Osborn,MO,64474,0,Dekalb
MO-W-15085,Tower Rock Vineyard & Winery Llc,Tower Rock Winery,10769 Highway A,Altenburg,MO,63732,6186,Cape Girardeau
MO-W-15086,"Buffalo Creek Winery, Llc",Buffalo Creek Winery,28888 Riverview Rd,Stover,MO,65078,2329,Morgan
MO-W-15087,Van Till Agri Lands Llp,Van Till Farms,13986 Hwy C,Rayville,MO,64084,8275,Ray
MO-W-15088,Grapes Of Held Winery And Vineyard L.L.C.,Grapes Of Held,Hc 1 Box 239,Fairdealing,MO,63939,9801,Ripley
MO-W-15089,Mark Todd Gifford,Bent Tree Wine,510 W 5th St,Kansas City,MO,64105,1132,Jackson
MO-W-15090,"Lindwedel Wine Garden, Llc",Lindwedel Wine Garden,3158 State Hwy 265,Branson,MO,65616,6136,Taney
MO-W-15091,Terry And Sheila Steele,Steele Crest Winery,2055 State Hwy,Jackson,MO,63755,7752,Cape Girardeau
MO-W-15092,Larry D. Cox, ,6743 County Road 315,Fulton,MO,65251,5906,Callaway
MO-W-15093,"Edg-Clif Winery, L.L.C.",Edg-Clif Farms,10035 Edg-Clif Dr,Potosi,MO,63664,0,Washington
MO-W-15094,"The Barrens Winery, Llc",The Barrens Winery,2815 N Highway 51,Perryville,MO,63775,0,Perry
MO-W-15095,"St. Jordan Creek, Incorporated",St. Jordan Creek,2829 Us Highway 50,Beaufort,MO,63013,1503,Franklin
MO-W-15097,Michael & Kathy Dennis,Tyler Ridge Vineyard Winery,7325 N Farm Rd,Springfield,MO,65803,0,Greene
MO-W-15098,"Cooper's Oak Winery Associates, L.L.C.",Cooper's Oak Winery,96-A W Jones St,Higbee,MO,65257,1044,Randolph
MO-W-15099,"Cooper's Oak Winery Winos, L.L.C.",Cooper's Oak Winery,327 Main St,Boonville,MO,65233,0,Cooper
MO-W-151,Holly J. Kingery,Bonanza Spring Winery,1004 S Westwood Blvd,Poplar Bluff,MO,63901,6108,Butler
MO-W-15100,"Belvoir Winery, Llc",Belvoir Winery,,Liberty,MO,64068,0,Clay
MO-W-15101,"Foristell Enterprises, Llc",Cedar Lake Cellars,11008 Schreckengast Rd,Wright City,MO,63390,5123,Warren
MO-W-15102,"Charlotte's White Mule, Inc.",White Mule Winery,2087 Highway 50,Owensville,MO,65066,2420,Gasconade
MO-W-15104,Hoover Vintners Llc,Endless Summer Winery,5 Grosse Ln,Hermann,MO,65041,2300,Gasconade
MO-W-15105,"Old Farm Winery, Llc",Old Farm Winery,5375 Viehland Farm Rd,Catawissa,MO,63015,1917,Franklin
MO-W-15106,"Martin Brothers Vineyard & Winery, Llc", ,1623 Old Iron Rd,Hermann,MO,65041,229,Gasconade
MO-W-15107,Joan Blattel,Small Batch Winery,620 West Hwy N,Wentzville,MO,63385,5308,Saint Charles
MO-W-15108,David R. Mitchell Sr. & Marilyn J. Mitchell,Old Man River Winery,919 Pcr 914,Perryville,MO,63775,8303,Perry
MO-W-15109,Whitney's Vineyard Llc,Whitney's Vineyard,4324 Hwy Nn,Centertown,MO,65023,0,Cole
MO-W-15110,The Curators Of The University Of Missouri,Mizzou,108 Eckles Hall,Columbia,MO,65211,0,Boone
MO-W-15112,"Viandel Vineyards, L.L.C.",Viandel Vineyards,8385 W Us Highway 60,Mountain View,MO,65548,8092,Howell
MO-W-15115,Weingarten Vineyard Llc, ,12323 Hwy 32,Ste Genevieve,MO,63670,0,Sainte Genevieve
MO-W-15118,"Naylor Creek Vineyard, Inc.", ,9405 Nw Highway N,Kansas City,MO,64153,2212,Platte
MO-W-15119,"Golden Rock Winery, Llc",Golden Rock Winery,955 N Business Route 5,Camdenton,MO,65020,2649,Camden
MO-W-15120,"Sni Valley Vineyards & Winery, Llc",Fahrmeier Family Vineyards & Winery,9300 Mitchell Trl,Lexington,MO,64067,0,Lafayette
MO-W-15121,"St. Aubert Hills Vineyard, Llc",Phoenix Winery,1840 Highway 50,Owensville,MO,65066,2111,Gasconade
MO-W-15122,Gilfron Inc.,Bat Creek Winery,4 W Main St,Bowling Green,MO,63334,1640,Pike
MO-W-15123,"Urban Chestnut Brewing Company, Inc.", ,3229 Washington Ave,Saint Louis,MO,63103,1218,Saint Louis City
MO-W-15124,Labella Vineyards Llc, ,11644 Flournoy School Rd,Wellington,MO,64097,8100,Lafayette
MO-W-15125,"Ladoga Ridge Vineyard & Winery, Llc",Ladoga Ridge Winery,100 E Pope Ln,Smithville,MO,64089,8739,Clay
MO-W-15126,Kenneth Wayne Lewis,Lewsi Winery,398 Long Bend Rd,Galena,MO,65656,4836,Stone
MO-W-15127,"Highlands Restaurant & Brewing Co., L. L. C.",Kirkwood Station Restaurant & Brewing Company,105 E Jefferson,Kirkwood,MO,63122,4025,Saint Louis
MO-W-15128,"Svw, Llc",Serenity Valley Winery,1888 Callaway County,Fulton,MO,65251,0,Callaway
MO-W-155,Oovvda Inc, ,5448 N Berry Ln,Springfield,MO,65803,8180,Greene
MO-W-157,"Whispering Oaks Vineyard & Winery, Inc",Whispering Oaks Vineyard & Winery,520 Lucky Rd,Seymour,MO,65746,8982,Webster
MO-W-158,"Baltimore Bend Vineyard, Llc",Baltimore Bend Vineyard,27150 Highway 24,Waverly,MO,64096,0,Lafayette
MO-W-159,"Erin Investments, L.L.C.",White Rose Winery,13001 Journey Rd,Carthage,MO,64836,8563,Jasper
MO-W-20026,"Lost Creek Vineyard, Llc",Lost Creek Vineyard,21356 Gore Rd,Marthasville,MO,63357,3534,Warren
MO-W-20086,Don Virgilio Llc,Don Virgilio Winery & Vineyards,140 Meadow Ridge Lane Ln,Seymour,MO,65746,0,Webster
MO-W-20125,"Vch, Llc",Edgewild Restaurant And Winery,550 Chesterfield Center,Chesterfield,MO,63017,0,St. Louis
MO-W-20162,Nick & Mina Jaberian,Red Fox Winery & Vineyards,1422 Nw 800th Rd,Urich,MO,64788,8149,United States
MO-W-20170,"Lakeside Winery, Inc.",Lakeside Winery,,Fulton,MO,65251,3440,Callaway
MO-W-20217,Stephen B. And Kathy A. Houchins,Claymalnay Vineyard And Winery,9800 Pike 49,Frankford,MO,63441,2649, 
MO-W-20239,Bushwhacker Bend Winery Llc,Bushwhacker Bend Winery,515 First St,Glasgow,MO,65254,1005,Howard
MO-W-20304,"Kuenzel Valley Winery, Llc", ,4455 Kohl City Rd,New Haven,MO,63068,2335,Franklin
MO-W-20414,"Eagle Pass Winery, Llc",Eagle Pass Winery,2431 County Road 534,Poplar Bluff,MO,63901,9488,Butler
MO-W-20421,"Shawnee Bluff Winery, Llc",Shawnee Bluff Winery,2430 Bagnell Dam Blvd,Lake Ozark,MO,65049,9700,Miller
MO-W-28,"Stone Hill Wine Company, Inc.",Stone Hill Winery,1110 Stone Hill Hwy,Hermann,MO,65041,1280,Gasconade
MO-W-30,"Mpw, Inc.", ,5634 High St,Augusta,MO,63332,1652,Saint Charles
MO-W-31,St. James Winery Inc.,St. James Winery,540 State Route Highwayb,Saint James,MO,65559,0,Phelps
MO-W-41,"Hermannhof, Inc.",Hermannhof Winery,237 E 1st St,Hermann,MO,65041,1113,Gasconade
MO-W-48,Edward L. Smith,Bristle Ridge Vineyards,"Hwy. 50, R.R. 1",Montserrat,MO,65336,0,Johnson
MO-W-50,"Bias Winery & Vineyards, Inc.",Bias Winery & Vineyards,3166 Highway B,Berger,MO,63014,1418,Franklin
MO-W-59,"Stone Hill Wine Company, Inc.",Stone Hill Winery,485 Booneslick Rd,New Florence,MO,63363,2500,Montgomery
MO-W-60,Augusta Wine Company,Augusta Winery,5601 High St,Augusta,MO,63332,1649,Saint Charles
MO-W-75,Odon P. & Paul E. Takacs,Takacs,Rr 4 Box 282,New Haven,MO,63068,9804,Franklin
MO-W-82,"Stone Hill Wine Company, Inc.",Stone Hill Winery,601 Stste Highway 165,Branson,MO,65616,9000,Taney
MO-W-83,"Les Bourgeois Vineyards, Inc.",Les Bourgeois Vineyards,Highway Bb And I-70,Rocheport,MO,65279,9496,Boone
MO-W-85,"O'vallon Winery, Inc.",O'vallon Winery,Rr 1 Box 77b,Washburn,MO,65772,9801,Barry
MO-W-91,Blumenhof Vineyards Company,Blumenhof Vineyards,"Highway 94, P.O. Box 30",Dutzow,MO,63342,0,Warren
MO-W-92,"Bynum Enterprises, Ltd",Bynum Winery,"Rt L, L3520 S. Sam Moore Road",Lone Jack,MO,64070,0,Jackson
MO-W-96,"Robller Vineyard, Inc.",Robller Vineyard,275 Robller Vineyard Rd,New Haven,MO,63068,2102,Franklin
MO-W-97,"Adam Puchta And Son Wine Company, Inc",Adam Puchta Winery,1947 Frene Creek Rd,Hermann,MO,65041,4103,Gasconade
MO-WS-15000,Laszlo Corporation, ,7888 Mexico Rd,St Peters,MO,63376,0,Saint Charles
MS-W-15000,Old South Winery Llc,Old South Winery,65 S Concord Ave,Natchez,MS,39120,6806,Adams
MS-W-15001,"Davis Productions, Llc",Red Hills Winery,690 Old Robinson Rd,Louisville,MS,39339,6702,Winston
MS-W-15002,"Lazy Magnolia Brewing Company, Llc", ,7030 Roscoe Turner Rd,Kiln,MS,39556,8000,Hancock
MS-W-9,"Almarla Winery, Inc.",Almarla Winery,1000 Frost Bridge Rd,Matherville,MS,39367,0,Sharkey
MT-W-1,"Mission Mountain Winery, Inc.",Mission Mountain Winery,82420 Highway 93,Dayton,MT,59914,0,Lake
MT-W-10,"Trail Creek Winery, Inc.",Trail Creek Winery,802 Highland Dr,Seeley Lake,MT,59868,0,Missoula
MT-W-15002,Good Foundations Inc.,Hidden Legend Winery,1345 Us Hwy N,Victor,MT,59875,0,Ravalli
MT-W-15005,Carol Lee Mcalpine,Montana Ciderworks,,Conner,MT,59827,0,Ravalli
MT-W-15006,"The Old Hatchery Winery, Llc", ,2711 W College St,Bozeman,MT,59718,3936,Gallatin
MT-W-15007,Rock Creek Winery Inc, ,410 Expressway,Missoula,MT,59808,1537,Missoula
MT-W-15008,"Trapper Peak Winery, Llc",Trapper Peak Winery,75 Cattail Ln,Darby,MT,59829,9729,Ravalli
MT-W-15010,"Blodgett Canyon Cellars, L.L.C.",Blodgett Canyon Cellars,448 Eagle Ln,Corvallis,MT,59828,9460,Ravalli
MT-W-15011,"Missoula Winery, Llc", ,5646 W Harrier Dr,Missoula,MT,59808,5321,Missoula
MT-W-15012,"Tongue River Vineyard & Winery, Llc",Tongue River Winery,99 Morning Star Ln,Miles City,MT,59301,0,Custer
MT-W-15013,"Clint Peck Enterprises, Inc.",Yellowstone Cellars & Winery,1335 Holiday Cir,Billings,MT,59101,6359,Yellowstone
MT-W-15015,Wine Bozo's Inc., ,131 Andrea,Belgrade,MT,59714,1111,Gallatin
MT-W-15016,"Grinde Bay Winery, Inc.",Grinde Bay,609 9th Ave E,Polson,MT,59860,3118,Lake
MT-W-2,Lolo Peak Winery Inc.,Lolo Peak Winery,2506 Mount Ave,Missoula,MT,59804,4706,Missoula
MT-W-20012,"Going To The Sun Winery, Inc.",Going To The Sun Winery,3250 Us Highway 2 E,Kalispell,MT,59901,6641,Flathead
MT-W-4,George W. Nickoloff & Roxanne R. Nickoloff,Rolling Hills Winery,220 6th St W,Culbertson,MT,59218,0,Roosevelt
MT-W-6,"Flathead Lake Winery, L.L.C.", ,29 Golden Eagle St,Columbia Falls,MT,59912,0,Flathead
MT-W-7,Rattlesnake Valley Farm Llp,Rattlesnake Creek Vineyard,4175 Rattlesnake Dr,Missoula,MT,59802,3096,Missoula
MT-W-8,Gerald D. Bowman,Bowman Orchards,19944 Mt Hwy 35,Bigfork,MT,59911,8222,Flathead
NC-W-14,"Duplin Wine Cellars, Incorporated",Duplin Wine Cellars,505 N Sycamore St,Rose Hill,NC,28458,8423,Duplin
NC-W-15000,"Childress Winery, Llc",Childress Vineyards,1000 Childress Vineyards Rd,Lexington,NC,27295,2061,Davidson
NC-W-15002,Horizon Cellars Llc,Horizon Cellars,466 Vineyard Rdg,Siler City,NC,27344,4314,Chatham
NC-W-15003,"Wallace Marketing, Ltd.",Creek Side Winery,3515 Stoney Creek Church Rd,Elon,NC,27244,9597,Alamance
